"The day ahead auction data provided in the download is for private and internal use only. The utilization of any data, whether in its raw or derived form, for external or commercial purposes is expressly prohibited. Should you require licensing for market-related data, please direct your inquiries to the original data providers, including but not limited to EPEX SPOT SE and Nord Pool AS.",,,,
Date (GMT+3),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (RO)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2026-04-20T00:00+03:00,1228,887.25,2450.75,116.26
2026-04-20T00:15+03:00,1228,887.25,2450.75,113.2
2026-04-20T00:30+03:00,1228,887.25,2450.75,111.98
2026-04-20T00:45+03:00,1228,887.25,2450.75,108.74
2026-04-20T01:00+03:00,1227.75,892.5,2369,111.35
2026-04-20T01:15+03:00,1227.75,892.5,2369,105.65
2026-04-20T01:30+03:00,1227.75,892.5,2369,103.67
2026-04-20T01:45+03:00,1227.75,892.5,2369,98.06
2026-04-20T02:00+03:00,1228,882.5,2240,106
2026-04-20T02:15+03:00,1228,882.5,2240,103.7
2026-04-20T02:30+03:00,1228,882.5,2240,102.37
2026-04-20T02:45+03:00,1228,882.5,2240,93.06
2026-04-20T03:00+03:00,1228,884,1962.75,101.73
2026-04-20T03:15+03:00,1228,884,1962.75,95.73
2026-04-20T03:30+03:00,1228,884,1962.75,98.06
2026-04-20T03:45+03:00,1228,884,1962.75,94.97
2026-04-20T04:00+03:00,1228,874.5,2097.75,98.06
2026-04-20T04:15+03:00,1228,874.5,2097.75,96.45
2026-04-20T04:30+03:00,1228,874.5,2097.75,99.2
2026-04-20T04:45+03:00,1228,874.5,2097.75,103.37
2026-04-20T05:00+03:00,1228.666667,907.6666667,2305,99.01
2026-04-20T05:15+03:00,1228.666667,907.6666667,2305,103.17
2026-04-20T05:30+03:00,1228.666667,907.6666667,2305,104.14
2026-04-20T05:45+03:00,1228.666667,907.6666667,2305,108.67
2026-04-20T06:00+03:00,1228.25,933.25,2515.75,106.13
2026-04-20T06:15+03:00,1228.25,933.25,2515.75,111.13
2026-04-20T06:30+03:00,1228.25,933.25,2515.75,122.23
2026-04-20T06:45+03:00,1228.25,933.25,2515.75,137.05
2026-04-20T07:00+03:00,1228,912,2761.25,127.15
2026-04-20T07:15+03:00,1228,912,2761.25,134.71
2026-04-20T07:30+03:00,1228,912,2761.25,139.84
2026-04-20T07:45+03:00,1228,912,2761.25,139.59
2026-04-20T08:00+03:00,1228.25,905.75,3127.25,144.64
2026-04-20T08:15+03:00,1228.25,905.75,3127.25,143.45
2026-04-20T08:30+03:00,1228.25,905.75,3127.25,138.8
2026-04-20T08:45+03:00,1228.25,905.75,3127.25,121.94
2026-04-20T09:00+03:00,1206.75,886,3105.25,148.46
2026-04-20T09:15+03:00,1206.75,886,3105.25,130.19
2026-04-20T09:30+03:00,1206.75,886,3105.25,124.4
2026-04-20T09:45+03:00,1206.75,886,3105.25,116.67
2026-04-20T10:00+03:00,1211,859,3341.5,128.41
2026-04-20T10:15+03:00,1211,859,3341.5,118.85
2026-04-20T10:30+03:00,1211,859,3341.5,104.86
2026-04-20T10:45+03:00,1211,859,3341.5,77.98
2026-04-20T11:00+03:00,1223.25,830,3556.25,107.27
2026-04-20T11:15+03:00,1223.25,830,3556.25,82.94
2026-04-20T11:30+03:00,1223.25,830,3556.25,91.11
2026-04-20T11:45+03:00,1223.25,830,3556.25,73.68
2026-04-20T12:00+03:00,1225.5,805,3756,86.54
2026-04-20T12:15+03:00,1225.5,805,3756,81.45
2026-04-20T12:30+03:00,1225.5,805,3756,73.75
2026-04-20T12:45+03:00,1225.5,805,3756,58.25
2026-04-20T13:00+03:00,1200,814,3790.5,75.35
2026-04-20T13:15+03:00,1200,814,3790.5,52.91
2026-04-20T13:30+03:00,1200,814,3790.5,46.18
