"Time Interval (UTC)","Area","Instance code","MTU (UTC)","Revenue (EUR)"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","19/04/2026 22:00 - 19/04/2026 22:15","-3.57"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","19/04/2026 22:15 - 19/04/2026 22:30","-0.22"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","19/04/2026 22:30 - 19/04/2026 22:45","-0.47"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","19/04/2026 22:45 - 19/04/2026 23:00","-0.81"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","19/04/2026 23:00 - 19/04/2026 23:15","-0.31"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","19/04/2026 23:15 - 19/04/2026 23:30","-1.22"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","19/04/2026 23:30 - 19/04/2026 23:45","-0.50"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","19/04/2026 23:45 - 20/04/2026 00:00","-0.71"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 00:00 - 20/04/2026 00:15","-0.10"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 00:15 - 20/04/2026 00:30","-0.23"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 00:30 - 20/04/2026 00:45","-0.11"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 00:45 - 20/04/2026 01:00","-0.55"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 01:00 - 20/04/2026 01:15","-0.04"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 01:15 - 20/04/2026 01:30","-0.05"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 01:30 - 20/04/2026 01:45","-0.23"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 01:45 - 20/04/2026 02:00","-0.34"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 02:00 - 20/04/2026 02:15","-0.48"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 02:15 - 20/04/2026 02:30","-0.99"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 02:30 - 20/04/2026 02:45","-1.79"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 02:45 - 20/04/2026 03:00","-0.28"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 03:00 - 20/04/2026 03:15","-4.34"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 03:15 - 20/04/2026 03:30","-0.04"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 03:30 - 20/04/2026 03:45","-4.44"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 03:45 - 20/04/2026 04:00","-8.21"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 04:00 - 20/04/2026 04:15","-12.62"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 04:15 - 20/04/2026 04:30","-10.41"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 04:30 - 20/04/2026 04:45","-7.44"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 04:45 - 20/04/2026 05:00","-12.85"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 05:00 - 20/04/2026 05:15","-5.20"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 05:15 - 20/04/2026 05:30","-21.75"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 05:30 - 20/04/2026 05:45","-5.73"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 05:45 - 20/04/2026 06:00","-9.64"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 06:00 - 20/04/2026 06:15","-45.89"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 06:15 - 20/04/2026 06:30","-11.55"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 06:30 - 20/04/2026 06:45","-2.31"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 06:45 - 20/04/2026 07:00","-8.48"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 07:00 - 20/04/2026 07:15","-29.34"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 07:15 - 20/04/2026 07:30","-5.16"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 07:30 - 20/04/2026 07:45","-7.44"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 07:45 - 20/04/2026 08:00","-1.80"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 08:00 - 20/04/2026 08:15","-3.96"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 08:15 - 20/04/2026 08:30","-2.25"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 08:30 - 20/04/2026 08:45","-3.10"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 08:45 - 20/04/2026 09:00","0.00"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 09:00 - 20/04/2026 09:15","-2.56"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 09:15 - 20/04/2026 09:30","0.00"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 09:30 - 20/04/2026 09:45","-0.77"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 09:45 - 20/04/2026 10:00","-2.09"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 10:00 - 20/04/2026 10:15","-2.99"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 10:15 - 20/04/2026 10:30","29.09"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 10:30 - 20/04/2026 10:45","25.77"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 10:45 - 20/04/2026 11:00","17.12"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 11:00 - 20/04/2026 11:15","-4.31"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 11:15 - 20/04/2026 11:30","-1.15"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 11:30 - 20/04/2026 11:45","-1.61"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 11:45 - 20/04/2026 12:00","5.63"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 12:00 - 20/04/2026 12:15","-1.89"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 12:15 - 20/04/2026 12:30","-7.84"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 12:30 - 20/04/2026 12:45","-9.06"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 12:45 - 20/04/2026 13:00","-6.66"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 13:00 - 20/04/2026 13:15","-1.93"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 13:15 - 20/04/2026 13:30","10.25"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 13:30 - 20/04/2026 13:45","-0.85"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 13:45 - 20/04/2026 14:00","-4.73"
"19/04/2026 22:00 - 20/04/2026 22:00","BZN|RO","4578cc51157926d67d78809d9929fbed","20/04/2026 14:00 - 20/04/2026 14:15","6437.54"
