"Time Interval (UTC)","Area","Instance code","MTU (UTC)","Revenue (EUR)"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","20/04/2026 22:00 - 20/04/2026 22:15","-14.33"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","20/04/2026 22:15 - 20/04/2026 22:30","-14.04"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","20/04/2026 22:30 - 20/04/2026 22:45","-4.21"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","20/04/2026 22:45 - 20/04/2026 23:00","-76.71"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","20/04/2026 23:00 - 20/04/2026 23:15","-117.38"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","20/04/2026 23:15 - 20/04/2026 23:30","-70.64"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","20/04/2026 23:30 - 20/04/2026 23:45","-37.41"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","20/04/2026 23:45 - 21/04/2026 00:00","-4.66"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 00:00 - 21/04/2026 00:15","-55.20"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 00:15 - 21/04/2026 00:30","-16.50"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 00:30 - 21/04/2026 00:45","-7.52"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 00:45 - 21/04/2026 01:00","-0.23"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 01:00 - 21/04/2026 01:15","-6.36"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 01:15 - 21/04/2026 01:30","-6.25"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 01:30 - 21/04/2026 01:45","-6.25"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 01:45 - 21/04/2026 02:00","-7.36"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 02:00 - 21/04/2026 02:15","-7.90"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 02:15 - 21/04/2026 02:30","-5.90"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 02:30 - 21/04/2026 02:45","-8.35"
"20/04/2026 22:00 - 21/04/2026 22:00","BZN|RO","0276926cb05ba488a295c54449b0efc1","21/04/2026 02:45 - 21/04/2026 03:00","-6.24"
